"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that a user can successfully change their password using valid credentials.","8858","Test Change Password with Valid Inputs","","Wed Sep 25 15:38:47 MSK 2024","passed","Wed Sep 25 15:38:56 MSK 2024","","Password Change Tests","",""
"This test verifies that a user can log in successfully with valid email and password, and is redirected to the account page.","7037","Valid Login Test with Correct Credentials","","Wed Sep 25 15:38:23 MSK 2024","passed","Wed Sep 25 15:38:30 MSK 2024","","Login Tests","",""
"This test verifies that attempting to change the password with an incorrect current password results in an error message.","10276","Test Change Password with Incorrect Current Password","","Wed Sep 25 15:38:30 MSK 2024","passed","Wed Sep 25 15:38:40 MSK 2024","","Password Change Tests","",""
"This test verifies that when the confirmation password does not match the new password, an appropriate error message is shown.","6562","Test Change Password with Mismatched Confirmation Password","","Wed Sep 25 15:38:40 MSK 2024","passed","Wed Sep 25 15:38:47 MSK 2024","","Password Change Tests","",""
"This test verifies that logging in with an invalid email and password results in an error message.","13868","Invalid Login Test with Incorrect Credentials","","Wed Sep 25 15:38:09 MSK 2024","passed","Wed Sep 25 15:38:23 MSK 2024","","Login Tests","",""
